date,XLB,XLV,XLP,XLY,XLE,XLF,XLI,XLK,XLU,XLC
20070103,34.61,33.5,26.287,38.52,56.58,36.92,35.23,23.33,36.82,
20070104,34.45,33.88,26.33,38.51,55.55,36.8,35.08,23.69,36.77,
20070105,34.22,33.69,26.14,38.25,55.92,36.49,34.96,23.5,36.11,
20070108,34.22,33.73,26.18,38.31,55.92,36.67,35.09,23.57,36.09,
20070109,34.23,33.69,26.24,38.52,55.44,36.61,35.07,23.6,36.12,
20070110,34.47,33.75,26.35,38.72,54.37,36.73,35.19,23.72,36.13,
20070111,34.84,34.12,26.55,39.15,54.06,36.96,35.48,23.96,36.17,
20070112,35.23,34.28,26.51,39.26,55.44,37,35.58,24.02,35.87,
20070116,35.32,34.36,26.53,39.4,54.87,37.1,35.77,23.97,35.98,
20070117,35.44,34.56,26.61,39.4,55.48,37,35.8,23.66,36.06,
20070118,35.23,34.66,26.57,39.62,55.07,36.85,35.64,23.39,36.04,
20070119,35.77,34.67,26.61,39.61,56.58,36.96,35.62,23.38,36.05,
20070122,35.4,34.46,26.58,39.36,56.19,36.93,35.23,23.21,36.04,
20070123,35.85,34.28,26.63,39.5,57.65,36.91,35.64,23.21,36.25,
20070124,36.22,34.54,26.73,39.65,57.9,37.29,35.54,23.63,36.37,
20070125,36.1,34.42,26.56,39.02,56.71,36.75,35.35,23.34,36.34,
20070126,36.08,34.23,26.49,38.83,56.85,36.82,35.21,23.35,36.25,
20070129,35.94,34.18,26.56,38.93,56.58,36.64,35.29,23.45,36.37,
20070130,36.04,34.35,26.54,39.04,57.72,36.78,35.27,23.59,36.48,
20070131,36.25,34.51,26.65,39.46,58.09,37.08,35.74,23.73,36.59,
20070201,36.69,34.8,26.75,39.6,58.3,37.32,36.05,23.63,36.9,
20070202,36.63,34.73,26.8,39.71,58.63,37.39,36.19,23.75,37.1,
20070205,36.48,34.72,26.71,39.58,58.57,37.38,36.26,23.69,37.5,
20070206,36.73,34.62,26.67,39.72,58.39,37.55,36.27,23.66,37.7,
20070207,36.73,34.67,26.61,39.91,58.04,37.69,36.24,23.77,37.84,
20070208,36.77,34.64,26.56,39.83,58.63,37.57,35.99,23.8,37.91,
20070209,36.6,34.54,26.52,39.46,58.39,37.17,35.85,23.54,38.04,
20070212,36.75,34.39,26.46,39.27,57.58,37.08,35.91,23.44,37.9,
20070213,37.49,34.52,26.55,39.62,58.42,37.35,36.2,23.54,38.23,
