date,MSFT,AAPL,GM
20070103,29.86,83.8,29.45
20070104,29.81,85.66,29.64
20070105,29.64,85.05,30.24
20070108,29.93,85.47,30.58
20070109,29.96,92.57,30.77
20070110,29.66,97,30.61
20070111,30.7,95.8,30.86
20070112,31.21,94.62,30.75
20070116,31.16,97.1,30.85
20070117,31.1,94.95,30.87
20070118,31,89.07,30.8
20070119,31.11,88.5,31.55
20070122,30.72,86.79,32.35
20070123,30.74,85.7,31.9
20070124,31.09,86.7,32.74
20070125,30.45,86.25,33.14
20070126,30.6,85.38,32.93
20070129,30.53,85.94,32.67
20070130,30.48,85.55,32.62
20070131,30.86,85.73,32.84
20070201,30.56,84.74,33.03
20070202,30.19,84.75,32.99
20070205,29.61,83.94,32.71
20070206,29.51,84.15,33.43
20070207,29.37,86.15,33.7
20070208,29.26,86.18,33.8
20070209,28.98,83.27,36.01
20070212,28.94,84.88,35.71
20070213,29.03,84.63,36.59
20070214,29.4,85.3,36.5
20070215,29.46,85.21,36.44
20070216,28.74,84.83,36.34
20070220,28.83,85.9,35.95
20070221,29.35,89.2,35.37
20070222,29.39,89.51,34.63
20070223,28.9,89.07,34.26
20070226,29.07,88.65,33.97
20070227,27.87,83.93,32.16
20070228,28.17,84.61,31.9
20070301,28.09,87.06,31.54
20070302,27.76,85.41,30.62
20070305,27.5499,86.3199,30.44
20070306,27.83,88.19,31.12
20070307,27.61,87.72,30.77
20070308,27.32,88,31.06
20070309,27.29,87.97,30.99
20070312,27.44,89.87,31.32
20070313,26.72,88.4,30.51
20070314,27.4,90,30.25
20070315,27.28,89.57,29.38
20070316,27.33,89.59,29.17
20070319,27.83,91.13,29.09
20070320,27.84,91.48,29.35
20070321,28.52,93.87,29.97
20070322,28.27,93.96,30.32
20070323,28.02,93.52,31.99
20070326,28.22,95.85,32.25
20070327,27.72,95.46,32.18
20070328,27.64,93.24,31.24
20070329,27.75,93.75,30.89
20070330,27.87,92.91,30.64
20070402,27.74,93.65,30.83
20070403,27.87,94.5,31.47
20070404,28.5,94.27,31.03
20070405,28.55,94.68,31.9
20070409,28.57,93.65,32
20070410,28.4,94.25,32.08
20070411,28.11,92.59,31.46
20070412,28.54,92.19,31.37
20070413,28.61,90.24,32.02
20070416,28.73,91.43,32.57
20070417,28.85,90.35,32.13
20070418,28.6,90.4,31.7
20070419,28.69,90.27,31.37
20070420,29.02,90.97,31.68
20070423,28.78,93.51,30.67
20070424,28.79,93.24,30.77
20070425,28.99,95.348,31.07
20070426,29.1,98.84,32.45
20070427,30.12,99.92,31.56
20070430,29.94,99.8,31.23
20070501,30.4,99.47,31.3
20070502,30.61,100.39,32.44
20070503,30.97,100.4,30.69
20070504,30.56,100.81,30.88
20070507,30.71,103.92,30.12
20070508,30.75,105.06,29.98
20070509,30.7799,106.88,29.65
20070510,30.58,107.34,28.99
20070511,30.89,108.74,29.46
20070514,30.97,109.36,30.62
20070515,30.9,107.52,31.97
20070516,31.07,107.34,31.74
20070517,30.98,109.44,31.59
20070518,30.83,110.02,31.45
20070521,31.05,111.98,31.28
20070522,30.69,113.54,31.36
20070523,30.58,112.89,31.43
20070524,30.17,110.69,30.47
20070525,30.48,113.62,30.49
20070529,30.79,114.35,30.1
20070530,31.11,118.77,30.08
20070531,30.6901,121.191,29.99
20070601,30.59,118.4,30.5
20070604,30.715,121.33,30.37
20070605,30.58,122.67,30.14
20070606,30.29,123.64,30.01
20070607,29.62,124.069,29.68
20070608,30.05,124.49,31
20070611,30.02,120.19,31.77
20070612,29.85,120.38,31.43
20070613,30.39,117.5,32.1
20070614,30.52,118.75,33.6
20070615,30.49,120.5,34.66
20070618,30.51,125.09,34.3
20070619,30.46,123.66,34.52
20070620,30.01,121.55,35.34
20070621,30.22,123.9,35.96
20070622,29.49,123,35.46
20070625,29.49,122.34,36.27
20070626,29.52,119.65,36.35
20070627,29.87,121.89,37.41
20070628,29.83,120.56,38.15
20070629,29.47,122.04,37.8
20070702,29.74,121.26,38.02
20070703,30.02,127.17,37.98
20070705,29.99,132.75,36.76
20070706,29.97,132.3,36.49
20070709,29.87,130.33009,36.77
20070710,29.33,132.35001,37.41
20070711,29.49,132.39,36.82
20070712,30.07,134.0699,37.54
20070713,29.82,137.73,37.03
20070716,30.03,138.10001,36.67
20070717,30.7799,138.9099,36.14
20070718,30.92,138.12,36
20070719,31.51,140,35.38
20070720,31.16,143.75,34.92
20070723,31.19,143.7,35.12
20070724,30.8,134.88989,34.65
20070725,30.71,137.25999,33.73
20070726,29.98,146,32.2
20070727,29.3901,143.85001,31.1
20070730,29.4,141.42999,32.61
20070731,28.99,131.75999,32.4
20070801,29.3,135,32.73
20070802,29.52,136.49001,33.39
20070803,28.9601,131.8499,32.04
20070806,29.54,135.25,32.45
20070807,29.55,135.03011,33.48
20070808,30,134.00999,34.82
20070809,29.3,126.39,34.85
20070810,28.71,125,33.85
20070813,28.63,127.79,34.46
20070814,28.27,124.03,33.32
20070815,28.1,119.9,31.54
20070816,27.81,117.05,30.77
20070817,28.25,122.06,30.55
20070820,28.26,122.22,30.97
20070821,28.07,127.57,31.08
20070822,28.22,132.50999,31.33
20070823,28.3,131.07001,30.75
20070824,28.81,135.3,31.05
20070827,28.49,132.25,30.32
20070828,27.93,126.82,29.18
20070829,28.59,134.08,30.59
20070830,28.45,136.25,30.33
20070831,28.73,138.48,30.74
20070904,28.81,144.16,31.92
20070905,28.48,136.75999,31.07
20070906,28.91,135.00999,31.05
20070907,28.44,131.77,29.55
20070910,28.48,136.71001,29.21
20070911,28.93,135.49001,30.54
20070912,28.93,136.85001,30.25
20070913,29.16,137.2,33.29
20070914,29.04,138.81,34.22
20070917,28.725,138.41,35.23
20070918,28.93,140.92,35.77
20070919,28.67,140.7699,34.98
20070920,28.4201,140.31,34.47
20070921,28.6499,144.14999,34.94
20070924,29.08,148.28,34.74
20070925,29.5599,153.17999,34.42
20070926,29.5,152.77,37.64
20070927,29.49,154.5,36.46
20070928,29.46,153.47,36.7
20071001,29.7701,156.339,36.05
20071002,29.7,158.45,37.05
20071003,29.4525,157.9201,37.49
20071004,29.71,156.24001,37.32
20071005,29.84,161.44991,38.2
20071008,29.84,167.91,38.11
20071009,30.0999,167.86,38.33
20071010,30.23,166.78999,38.13
20071011,29.91,162.23,39.99
20071012,30.17,167.25369,42.64
20071015,30.04,166.98,41.11
20071016,30.32,169.58,39.41
20071017,31.08,172.75,38.68
20071018,31.16,173.5,39.89
20071019,30.17,170.42,37.6
20071022,30.51,174.36,37.64
20071023,30.9,186.16,38.35
20071024,31.25,185.92999,38.69
20071025,31.99,182.78,37.69
20071026,35.03,184.7,37.77
20071029,34.57,185.09,37.96
20071030,35.57,187,38.22
20071031,36.81,189.95,39.19
20071101,37.06,187.44,37.25
20071102,37.06,187.87,36.99
20071105,36.73,186.17999,36
20071106,36.41,191.78999,36.16
20071107,35.52,186.2999,33.95
20071108,34.74,175.46629,33.15
20071109,33.73,165.37,31.28
20071112,33.38,153.75999,30.79
20071113,34.46,169.96001,31.62
20071114,33.93,166.11,31.2
20071115,33.76,164.3,30.14
20071116,34.09,166.39,29.27
20071119,33.96,163.95,26.79
20071120,34.58,168.85001,26.29
20071121,34.23,168.46001,26.39
20071123,34.11,171.53999,27.16
20071126,32.97,172.5419,26.9
20071127,33.06,174.81,27.15
20071128,33.7,180.22,28.39
20071129,33.59,184.28999,28.78
20071130,33.6,182.22,29.83
20071203,32.92,178.86,28.61
20071204,32.77,179.81,27.68
20071205,34.15,185.5,28.1
20071206,34.55,189.9528,28.61
20071207,34.53,194.3,28.62
20071210,34.76,194.21001,29
20071211,34.1,188.54041,27.51
20071212,34.47,190.86,27.36
20071213,35.22,191.83,26.95
20071214,35.31,190.39,26.52
20071217,34.39,184.39999,26.39
20071218,34.74,182.98,26.93
20071219,34.79,183.12,26.66
20071220,35.52,187.21001,26.48
20071221,36.06,193.91,26.64
20071224,36.58,198.8,26.54
20071226,36.61,198.95,26.52
20071227,35.97,198.57001,26.06
20071228,36.12,199.83,25.3
20071231,35.6,198.08,24.89
20080102,35.22,194.84,24.41
20080103,35.37,194.92999,23.92
20080104,34.38,180.05,23.65
20080107,34.61,177.64,23.66
20080108,33.45,171.25,23.3
20080109,34.44,179.39999,22.78
20080110,34.33,178.02,23.68
20080111,33.91,172.69,23.5
20080114,34.39,178.78,23.69
20080115,34,169.03999,22.28
20080116,33.23,159.64,22.85
20080117,33.11,160.89,22.84
20080118,33.01,161.36,23.52
20080122,31.99,155.64,23.65
20080123,31.93,139.07201,25.7
20080124,33.25,135.60001,25.62
20080125,32.94,130.00999,25.79
20080128,32.72,130.00999,26.53
20080129,32.6,131.53999,27.21
20080130,32.2,132.17999,27.46
20080131,32.6,135.36,28.21
20080201,30.4498,133.75,28.98
20080204,30.19,131.64999,27.57
20080205,29.07,129.36,26.47
20080206,28.52,122,25.71
20080207,28.12,121.24,26.3
20080208,28.56,125.48,25.8
20080211,28.21,129.45,27.12
20080212,28.34,124.86,26.6
20080213,28.96,129.39999,26.46
20080214,28.5,127.46,25.82
20080215,28.42,124.63,26.13
20080219,28.17,122.18,26
20080220,28.22,123.82,25.54
20080221,28.1,121.54,24.3
20080222,27.68,119.46,24.08
20080225,27.84,119.74,24.2
20080226,28.38,119.15,24.58
20080227,28.26,122.96,24.82
20080228,27.93,129.91,24.5
20080229,27.1999,125.02,23.28
20080303,26.99,121.73,23.2
20080304,27.59,124.62,23.07
20080305,28.1199,124.4899,22.97
20080306,27.57,120.93,22.35
20080307,27.87,122.25,21.96
20080310,28.05,119.69,20.89
20080311,29.28,127.3501,21.77
20080312,28.63,126.03,20.93
20080313,28.62,127.94,20.31
20080314,27.96,126.61,19.22
20080317,28.3,126.73,17.83
20080318,29.42,132.82001,19.41
20080319,28.62,129.67,19.03
20080320,29.18,133.27,19.4999
20080324,29.17,139.53,20.38
20080325,29.14,140.98,20.35
20080326,28.56,145.06,19.48
20080327,28.05,140.25,19.26
20080328,27.91,143.00999,18.67
20080331,28.38,143.5,19.05
20080401,29.4999,149.53011,20.15
20080402,29.16,147.49001,20.97
20080403,29,151.61,21.59
20080404,29.16,153.08,20.58
20080407,29.16,155.89,21.01
20080408,28.75,152.84,20.98
20080409,28.89,151.44,20.13
20080410,29.11,154.55,20.17
20080411,28.28,147.14,19.62
20080414,28.06,147.78,19
20080415,28.25,148.38,19.12
20080416,28.95,153.7,19.9
20080417,29.22,154.49001,19.79
20080418,30,161.03999,20.13
20080421,30.42,168.16,21.27
20080422,30.25,160.2,20.51
20080423,31.45,162.89,20.94
20080424,31.8,168.94,22.11
20080425,29.83,169.73,21.38
20080428,28.99,172.24001,21.94
20080429,28.64,175.05,21.2
20080430,28.52,173.95,23.2
20080501,29.4,180,23.19
20080502,29.24,180.94,23.2
20080505,29.08,184.73,22.36
20080506,29.7,186.66,22.34
20080507,29.21,182.59,21.4
20080508,29.27,185.06,21.15
20080509,29.39,183.45,20.29
20080512,29.99,188.16,20.76
20080513,29.78,189.96001,20.2
20080514,29.93,186.25999,20.19
20080515,30.4501,189.73,21.23
20080516,29.99,187.6201,20.68
20080519,29.46,183.60001,20.87
20080520,28.76,185.89999,19.86
20080521,28.25,178.19,19.12
20080522,28.47,177.05,18.43
20080523,28.05,181.17,17.6
20080527,28.44,186.42999,17.42
20080528,28.18,187.00999,17.15
20080529,28.31,186.69,17.38
20080530,28.32,188.75,17.1
20080602,27.8,186.10001,17.44
20080603,27.31,185.37,17.58
20080604,27.54,185.19,17.01
20080605,28.3,189.42999,17.05
20080606,27.49,185.64,16.22
20080609,27.71,181.61,16.48
20080610,27.89,185.64,16.81
20080611,27.12,180.81,16.12
20080612,28.24,173.25999,15.76
20080613,29.07,172.37,16.45
20080616,28.93,176.84,16.23
20080617,28.8,181.42999,15.82
20080618,28.46,178.75,14.89
20080619,28.93,180.89999,14.79
20080620,28.23,175.27,13.79
20080623,27.97,173.16,12.91
20080624,27.73,173.25,13.19
20080625,28.35,177.39,12.81
20080626,27.75,168.25999,11.43
20080627,27.63,170.09,11.55
20080630,27.51,167.44,11.5
20080701,26.87,174.67999,11.75
20080702,25.88,168.17999,9.98
20080703,25.98,170.12,10.12
20080707,26.03,175.16,10.24
20080708,25.85,179.55,10.78
20080709,25.23,174.25,10.33
20080710,25.45,176.63,9.69
20080711,25.25,172.58,9.92
20080714,25.15,173.88,9.38
20080715,26.15,169.64,9.84
20080716,27.26,172.81,11.48
20080717,27.52,171.81,12.85
20080718,25.86,165.14999,13.18
20080721,25.64,166.28999,13.09
20080722,25.8,162.02,14.32
20080723,26.43,166.25999,14.62
20080724,25.44,159.03,13
20080725,26.16,162.12,11.9
20080728,25.5,154.39999,11
20080729,26.11,157.08,11.9
20080730,26.23,159.88,11.4
20080731,25.72,158.95,11.07
20080801,25.44,156.66,10.23
20080804,25.28,153.23,10.1
20080805,26.21,160.64,10.69
20080806,27.02,164.19,10.25
20080807,27.39,163.57001,9.75
20080808,28.13,169.55,10.03
20080811,27.9,173.56,10.76
20080812,28.12,176.73,11.1
20080813,27.91,179.3,10.26
20080814,27.91,179.32001,11.35
20080815,27.81,175.74001,11.18
20080818,27.69,175.39,10.36
20080819,27.32,173.53,9.95
20080820,27.29,175.84,10.16
20080821,27.18,174.28999,9.92
20080822,27.84,176.78999,10.44
20080825,27.66,172.55,10.13
20080826,27.27,173.64,10.04
20080827,27.56,174.67,10.2
20080828,27.94,173.74001,10.34
20080829,27.29,169.53,10
20080902,27.1,166.19,10.65
20080903,26.9,166.96001,11.27
20080904,26.35,161.22,10.68
20080905,25.65,160.17999,10.71
20080908,26.12,157.92,10.83
20080909,26.1,151.67999,10.76
20080910,26.44,151.61,11.42
20080911,27.34,152.64999,12.75
20080912,27.62,148.94,13.01
20080915,26.82,140.36,11.44
20080916,25.99,139.88,10.84
20080917,24.57,127.83,9.93
20080918,25.26,134.09,11.4
20080919,25.16,140.91,13.08
20080922,25.4,131.05,11.58
20080923,25.44,126.84,10.72
20080924,25.72,128.71001,10.35
20080925,26.61,131.92999,10.03
20080926,27.4,128.24001,9.76
20080929,25.01,105.26,8.51
20080930,26.69,113.66,9.45
20081001,26.48,109.12,9.45
20081002,26.25,100.1,9.03
20081003,26.32,97.07,9
20081006,24.91,98.14,8.48
20081007,23.23,89.16,7.56
